ICAO,REF,LAT,LON,ELEV, NAME
EGLL,27L,51.4649463,-0.4340796,77,09R/27L
EGLL,09L,51.4775009,-0.4850345,79,09L/27R
EGLL,09R,51.4647721,-0.4867392,75,09R/27L
EGLL,27R,51.4776791,-0.4332975,78,09L/27R
