ICAO,REF,LAT,LON,NAME
WSSS,02C,1.3287349,103.984948,02C/20C
WSSS,20R,1.3761065,103.9889333,02L/20R
WSSS,02R,1.3223944,103.9998434,02R/20L
WSSS,20C,1.3620568,103.9990102,02C/20C
WSSS,02L,1.348954,103.9774596,02L/20R
WSSS,20L,1.3556798,104.0138908,02R/20L
