ICAO,REF,LAT,LON,NAME
EHAM,18L,52.3161396,4.7796905,18L/36R
EHAM,04,52.3004187,4.7835793,04/22
EHAM,18C,52.3313959,4.7400348,18C/36C
EHAM,09,52.3166887,4.7477162,09/27
EHAM,36L,52.3285791,4.7088354,18R/36L
EHAM,06,52.2891164,4.7372487,06/24
EHAM,36R,52.2908821,4.7773712,18L/36R
EHAM,22,52.3140187,4.8030113,04/22
EHAM,36C,52.3058222,4.737682,18C/36C
EHAM,27,52.3183687,4.7969159,09/27
EHAM,18R,52.3602501,4.7117234,18R/36L
EHAM,24,52.3043747,4.7769834,06/24
