ICAO,REF,LAT,LON,NAME
KATL,09R,33.6318326,-84.4479722,09R/27L
KATL,09L,33.634711,-84.4479795,09L/27R
KATL,08L,33.6495351,-84.4390404,08L/26R
KATL,08R,33.646795,-84.4382035,08R/26L
KATL,10,33.6202798,-84.4478221,10/28
KATL,27L,33.6318308,-84.4184207,09R/27L
KATL,27R,33.6347099,-84.4089297,09L/27R
KATL,26R,33.6495461,-84.4094616,08L/26R
KATL,26L,33.6468053,-84.4055182,08R/26L
KATL,28,33.6202844,-84.4183223,10/28
