ICAO,REF,LAT,LON,NAME
EGKK,08R,51.1458641,-0.2068188,08R/26L
EGKK,26R,51.1510357,-0.1826552,08L/26R
EGKK,26L,51.150657699999996,-0.1719357,08R/26L
EGKK,08L,51.147534,-0.2081013,08L/26R
