ICAO,REF,LAT,LON,NAME
EDDF,36,49.9984866,8.5263057,18/36
EDDF,07R,50.0275454,8.5341842,07R/25L
EDDF,25R,50.0458132,8.5337145,07L/25R
EDDF,25C,50.0451254,8.5869854,07C/25C
EDDF,18,50.0341605,8.5259368,18/36
EDDF,25L,50.0400544,8.5865355,07R/25L
EDDF,07L,50.0370395,8.4970748,07L/25R
EDDF,07C,50.0326125,8.5346331,07C/25C
