FID,gid,geom,id,ciad,localidade_id,nome,tipo,efetivacao,fir,jurisdicao,latitude_dec,longitude_dec,latitude,longitude,elevacao,elev_uom,tipo_util,cat_sigla,opr,wh,cidade,uf,utc,emenda_n,emenda,airport_pk
airport.1909,1909,MULTIPOINT ((-57.903888888889 -13.754444444444)),0f5243da-161b-425e-a7d7-324eecc18093,MT0172,SJGF,Fazenda Irmãos Garcia,AD,2020-12-17,SBAZ,CINDACTA 4,-13.75444444,-57.90388889,13 45 16S,057 54 14W,585,M,PRIV,NAC,VFR DIURNA,HJ,Campo Novo do Parecis,MT,-4,51/20,2023-03-23,5856
airport.4016,4016,MULTIPOINT ((-47.579444444444 -14.869722222222)),89827e12-4cc4-4e73-8a70-f40177710d8d,GO0136,SWMG,Margom,AD,2018-07-19,SBBS,CINDACTA 1,-14.86972222,-47.57944444, 14 52 11S, 047 34 46W,1100,M,PRIV,NAC,VFR DIURNA,HJ,Água Fria de Goiás,GO,-3,29/18,2023-03-23,5858
airport.4225,4225,MULTIPOINT ((-50.853611111111 -30.119444444444)),669e7d43-f6b7-4e8c-84dd-db1e02084b5c,RS0068,SIUA,Águas Claras,AD,2018-07-19,SBCW,CINDACTA 2,-30.11944444,-50.85361111, 30 07 10S, 050 51 13W,36,M,PRIV,NAC,VFR,H24,Viamão,RS,-3,29/18,2023-03-23,5863
airport.3108,3108,MULTIPOINT ((-50.8925 -20.017777777778)),27df8d1a-0eaf-4001-9ff3-e1cf65abc9f9,SP0263,SSYB,Fazenda Bela Manhã,AD,2018-07-19,SBBS,CINDACTA 1,-20.01777778,-50.8925, 20 01 04S, 050 53 33W,374,M,PRIV,NAC,VFR DIURNA,HJ,Santa Clara d'Oeste,SP,-3,29/18,2023-03-23,5864
airport.78,78,MULTIPOINT ((-39.271944444444 -17.296944444444)),90d214df-60a2-423c-8ef2-87420b633a23,BA0048,SNRD,Prado,AD,2023-03-02,SBRE,CINDACTA 3,-17.29694444,-39.27194444, 17 17 49S, 039 16 19W,27,M,PUB,NAC,VFR DIURNA,H24,Prado,BA,-3,9/23,2023-03-23,5865
airport.2672,2672,MULTIPOINT ((-63.042222222222 -12.04)),ffed20a9-738e-4e68-97e9-2aa51bb291f3,RO0050,SIIN,Fazenda Marrecão,AD,2019-03-21,SBAZ,CINDACTA 4,-12.04,-63.04222222, 12 02 24S, 063 02 32W,161,M,PRIV,NAC,VFR DIURNA,HJ,São Miguel do Guaporé,RO,-4,12/19,2023-03-23,6032
airport.2251,2251,MULTIPOINT ((-47.88 -23.331944444444)),8bdd07e3-6923-4e1d-a13d-cbee8d433493,SP0050,SDTF,Tatuí,AD,2020-07-02,SBCW,CINDACTA 2,-23.33194444,-47.88, 23 19 55S, 047 52 48W,635,M,PUB,NAC,VFR DIURNA,HJ,Tatuí,SP,-3,27/20,2023-03-23,202
airport.2671,2671,MULTIPOINT ((-54.799722222222 -10.219166666667)),aa3faf46-43fa-4eb6-b693-32ae9764307f,MT0480,SJJI,Fazenda São José,AD,2019-03-21,SBAZ,CINDACTA 4,-10.21916667,-54.79972222, 10 13 09S, 054 47 59W,287,M,PRIV,NAC,VFR DIURNA,HJ,Matupá,MT,-4,12/19,2023-03-23,6033
airport.1340,1340,MULTIPOINT ((-48.658055555556 -27.288055555556)),caba2790-5d49-420b-a23c-ed840c2aa3a8,SC0103,SIZD,DZ47,AD,2021-10-28,SBCW,CINDACTA 2,-27.28805556,-48.65805556, 27 17 17S, 048 39 29W,2,M,PRIV,NAC,VFR DIURNA,HJ,Tijucas,SC,-3,44/21,2023-03-23,6034
airport.2645,2645,MULTIPOINT ((-57.847222222222 -21.341666666667)),28842417-db53-4077-81d8-f6a2f5ed5c93,MS0414,SIYX,Fazenda Tereré,AD,2019-05-02,SBCW,CINDACTA 2,-21.34166667,-57.84722222, 21 20 30S, 057 50 50W,84,M,PRIV,NAC,VFR DIURNA,HJ,Porto Murtinho,MS,-4,18/19,2023-03-23,6035
airport.2697,2697,MULTIPOINT ((-52.901666666667 -18.679722222222)),4f79b8c1-7556-4a48-a76b-31d8d02875b5,MS0410,SSYV,Fazenda Indaiá,AD,2019-03-14,SBBS,CINDACTA 1,-18.67972222,-52.90166667, 18 40 47S, 052 54 06W,851,M,PRIV,NAC,VFR DIURNA,HJ,Chapadão do Sul,MS,-4,11/19,2023-03-23,6040
airport.2664,2664,MULTIPOINT ((-46.942222222222 -22.572222222222)),5f03a5f6-983b-4e16-a679-255d4c4d6be7,SP0854,SNUF,Alfa Airport Posse,AD,2019-03-28,SBBS,CRCEA-SE,-22.57222222,-46.94222222, 22 34 20S, 046 56 32W,717,M,PRIV,NAC,VFR DIURNA,HJ,São Paulo,SP,-3,13/19,2023-03-23,6044
airport.4666,4666,MULTIPOINT ((-51.847777777778 -8.733333333333)),5edc0305-a797-45c9-9eba-43abecf54c2f,PA0144,SWKP,Pista Aldeia Krãnhãmpare,AD,2018-07-19,SBAZ,CINDACTA 4,-8.73333333,-51.84777778,08 44 00S,051 50 52W,315,M,PRIV,NAC,VFR DIURNA,HJ,São Félix do Xingu,PA,-3,29/18,2023-03-23,5661
airport.4265,4265,MULTIPOINT ((-54.767222222222 -18.344722222222)),6da7ab04-cfec-4305-8c5c-99f6d18f7c66,MS0129,SITJ,Estância Tejo,AD,2018-07-19,SBCW,CINDACTA 2,-18.34472222,-54.76722222,18 20 41S,054 46 02W,334,M,PRIV,NAC,VFR DIURNA,HJ,Coxim,MS,-4,29/18,2023-03-23,5662
airport.4642,4642,MULTIPOINT ((-54.621666666667 -31.0225)),2536ac6b-cdbf-4d50-8082-97032a3e8648,RS0095,SSFC,Safra,AD,2018-07-19,SBCW,CINDACTA 2,-31.0225,-54.62166667,31 01 21S,054 37 18W,135,M,PRIV,NAC,VFR DIURNA,HJ,Dom Pedrito,RS,-3,29/18,2023-03-23,5664
airport.3151,3151,MULTIPOINT ((-48.943611111111 -23.942777777778)),4b5771f7-e960-4a57-8342-c27d49221985,SP0209,SJGJ,Sítio São Jorge,AD,2018-07-19,SBCW,CINDACTA 2,-23.94277778,-48.94361111,23 56 34S,048 56 37W,665,M,PRIV,NAC,VFR DIURNA,HJ,Itapeva,SP,-3,29/18,2023-03-23,5665
