FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.2854,2854,3649,2012-01-20,3594,08/26,1500,30,,ASPH,,,,,,,,,,,,,,,,,,X,,42,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-45.52258057259462 -23.04373692630475, -45.510361124159374 -23.03627859319818, -45.51019998770616 -23.036504740759156, -45.52241942727086 -23.043963073652577, -45.52258057259462 -23.04373692630475))",2022-12-29,2023-01-26
runway_v2.2855,2855,125,2013-01-01,109,10/28,2500,45,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,52,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-41.73973461604473 -2.89583804481131, -41.719512393748445 -2.8898880447907804, -41.71939871823211 -2.89027862120569, -41.73962093993578 -2.89622862118515, -41.73973461604473 -2.89583804481131))",2022-12-29,2023-01-26
runway_v2.2856,2856,313,2013-01-01,296,04/22,1600,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,8,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-45.935140357587386 -21.438106314961416, -45.929520900205695 -21.424620202882206, -45.92925132170391 -21.42471868500904, -45.934870754322134 -21.43820479692976, -45.935140357587386 -21.438106314961416))",2022-12-29,2023-01-26
runway_v2.2858,2858,749,2018-12-06,725,18/36,1750,30,,ASPH,,,,,,,,,,,,,,,,,,Y,,18,TECH,,C,FLEXIBLE,,,,,,,,M,M,M,,M,M,M,,RWY,,,M,"L14,15",,M,M,,"POLYGON ((-49.21576990564378 -18.437021068064638, -49.21086989377657 -18.45214051312833, -49.21114121828631 -18.45222059877446, -49.21604120641903 -18.43710115383824, -49.21576990564378 -18.437021068064638))",2022-12-29,2023-01-26
runway_v2.2859,2859,3700,2012-01-20,3587,12/30,2599,45,,ASPH,,,,,,,,,,,,,,,,,,X,,44,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-54.97683062743401 -9.33115080983634, -54.95366118286831 -9.335923031889669, -54.95374437317892 -9.33632141210324, -54.976913816613184 -9.331549190156569, -54.97683062743401 -9.33115080983634))",2022-12-29,2023-01-26
runway_v2.2866,2866,396,2013-01-01,379,10/28,1033,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,8,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-40.34123383766008 -3.67927934049834, -40.33202550363738 -3.6780932294947495, -40.331991162357454 -3.67836232650451, -40.34119949633476 -3.67954843750093, -40.34123383766008 -3.67927934049834))",2022-12-29,2023-01-26
runway_v2.2870,2870,751,2013-06-27,727,15/33,1500,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,23,TECH,,A,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-39.11342033349264 -16.53701099050949, -39.102459218642906 -16.545502656595367, -39.10263522545293 -16.54571400936642, -39.113596332603144 -16.53722234345233, -39.11342033349264 -16.53701099050949))",2022-12-29,2023-01-26
runway_v2.2875,2875,834,2012-03-08,810,12/30,1400,25,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,15,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,,,,"POLYGON ((-48.53128371369599 -22.48226313903389, -48.5178031574978 -22.48395758305739, -48.51783573052836 -22.4841813049394, -48.53131628633016 -22.482486860962897, -48.53128371369599 -22.48226313903389))",2022-12-29,2023-01-26
runway_v2.2877,2877,4021,2018-01-04,3997,10/28,1500,30,,ASPH,,,,1620,80,,,,,,,,,,,,,Y,,12,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-40.86749999887255 -4.02958009269459, -40.881111109872556 -4.02958009269459, -40.88111111212743 -4.029308795304959, -40.86750000112743 -4.029308795304959, -40.86749999887255 -4.02958009269459))",2022-12-29,2023-01-26
runway_v2.2882,2882,134,2019-01-03,117,07/25,1640,35,,ASPH,,PCN,,1760,150,,,,,,,,,,,,,X,,35,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-49.41301313568265 -20.82144585175206, -49.40069646329917 -20.812212518619088, -49.40048687052998 -20.81245970331508, -49.4128035301464 -20.82169303618208, -49.41301313568265 -20.82144585175206))",2022-12-29,2023-01-26
runway_v2.2883,2883,454,2013-01-01,436,12/30,1600,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,6,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-37.258706085073285 -7.03722883479876, -37.24458108486758 -7.040428834816809, -37.24464113714941 -7.04069338718052, -37.2587661369437 -7.03749338719857, -37.258706085073285 -7.03722883479876))",2022-12-29,2023-01-26
runway_v2.2887,2887,502,2019-01-03,482,18/36,1080,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,17,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-49.094992207460066 -26.825504473389227, -49.091892197824365 -26.83792391842038, -49.09206891420317 -26.837959415524377, -49.09516890456745 -26.82553997055556, -49.094992207460066 -26.825504473389227))",2022-12-29,2023-01-26
runway_v2.2888,2888,848,2015-03-05,824,09/27,1500,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,12,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,,,,"POLYGON ((-48.48623263937183 -21.63494392646599, -48.47250485997811 -21.63059114839886, -48.47241180593973 -21.63084773958613, -48.486139582545995 -21.63520051751899, -48.48623263937183 -21.63494392646599))",2022-12-29,2023-01-26
runway_v2.2891,2891,976,2011-12-15,952,04/22,1400,18,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,11,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-45.49533845973145 -22.896426222484727, -45.49088567448281 -22.8844928884449, -45.49071988148493 -22.88454599951179, -45.49517265223626 -22.89647933347193, -45.49533845973145 -22.896426222484727))",2022-12-29,2023-01-26
runway_v2.2896,2896,139,2016-05-26,122,14/32,1130,14,,ASPH,,PCN,5700kg/0.5MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-70.78678877384243 -8.15122446327184, -70.77952766189132 -8.15931057428863, -70.7796223381186 -8.15939498170575, -70.78688344816749 -8.15130887072254, -70.78678877384243 -8.15122446327184))",2022-12-29,2023-01-26
runway_v2.2907,2907,1676,2012-01-20,1652,02/20,1518,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,36,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-42.8731403320236 -5.08754221539711, -42.87431810617979 -5.073853326402079, -42.87404855982503 -5.0738300075698, -42.87287077998124 -5.0875188965747, -42.8731403320236 -5.08754221539711))",2022-12-29,2023-01-26
runway_v2.2909,2909,1708,2011-05-01,1684,14/32,800,21,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,Y,,8,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,,,,,,"POLYGON ((-35.75626535680886 -9.58302907875217, -35.74970424539675 -9.58630407876815, -35.74979019862459 -9.586473699226099, -35.75635130921246 -9.58319869924209, -35.75626535680886 -9.58302907875217))",2022-12-29,2023-01-26
runway_v2.2914,2914,518,2018-07-19,497,06/24,1950,30,,ASPH,,PCN,,2070,150,,,,,,,,,,,,,X,,28,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-54.93283217373203 -22.2086032676182, -54.9208766078346 -22.194953267474787, -54.92065117002873 -22.19512451044629, -54.9326067141312 -22.208774510302828, -54.93283217373203 -22.2086032676182))",2022-12-29,2023-01-26
runway_v2.2921,2921,2307,2018-03-01,2283,03/21,1627,18,,ASPH,,PCN,5700kg/0.50MPa,1687,60,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,M,,,,M,,RWY,,,,"L14 ,15",,M,M,,"POLYGON ((-52.15415678023632 -14.02659516061179, -52.15026787512434 -14.01270627153009, -52.14973212470984 -14.01284928417338, -52.15362099759766 -14.02673817309138, -52.15415678023632 -14.02659516061179))",2022-12-29,2023-01-26
runway_v2.2922,2922,2321,2011-01-01,2297,01/19,2000,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,25,TECH,,A,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,,,,,,"POLYGON ((-57.994410383232164 -14.25207040983337, -57.99643815031792 -14.23412596485572, -57.99616184970013 -14.234096257064358, -57.994134060785896 -14.2520407020866, -57.994410383232164 -14.25207040983337))",2022-12-29,2023-01-26
runway_v2.2923,2923,2347,2017-01-05,2323,16/34,1650,45,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,34,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-42.64981033674737 -9.0779483147144, -42.63922144348125 -9.08854553679739, -42.63951189063423 -9.0888322411437, -42.65010077536795 -9.07823501922676, -42.64981033674737 -9.0779483147144))",2022-12-29,2023-01-26
runway_v2.2929,2929,4296,2014-12-11,4272,11/29,1300,23,,ASPH,,,,,,,,,,,,,,,,,,Y,,17,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,,,,"POLYGON ((-44.734169394287875 -20.076004485508708, -44.72174717128282 -20.075712819505288, -44.72174171671358 -20.07592051449344, -44.73416393970852 -20.076212180490007, -44.734169394287875 -20.076004485508708))",2022-12-29,2023-01-26
runway_v2.2940,2940,537,2013-01-01,516,15/33,1260,18,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,10,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-51.55826127753264 -27.167999524263507, -51.54826960713772 -27.174877302326617, -51.548380392925814 -27.17500603165091, -51.55837205653088 -27.16812825371402, -51.55826127753264 -27.167999524263507))",2022-12-29,2023-01-26
runway_v2.2944,2944,2552,2018-01-04,3597,06L/24R,3300,45,,ASPH,,,,,,,,,,,,,,,,,,X,,66,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-48.97343829522291 -16.238316171660337, -48.95396605414978 -16.21517728338122, -48.953639501638904 -16.21543382849169, -48.973111704565426 -16.238572716212367, -48.97343829522291 -16.238316171660337))",2022-12-29,2023-01-26
runway_v2.2946,2946,146,2016-02-04,129,17/35,1759,45,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,32,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-47.96892715283814 -19.758114667276608, -47.96027713722757 -19.77172577943573, -47.96064508501286 -19.77193533237386, -47.96929506940207 -19.75832422053312, -47.96892715283814 -19.758114667276608))",2022-12-29,2023-01-26
runway_v2.2947,2947,147,2013-01-01,130,09/27,1320,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,14,TECH,,D,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-65.36122560750299 -4.88536737616868, -65.34974505239903 -4.88289515415893, -65.3496882815898 -4.8831604018393495, -65.36116883648583 -4.8856326238296, -65.36122560750299 -4.88536737616868))",2022-12-29,2023-01-26
runway_v2.2948,2948,149,2013-01-01,132,03/21,2600,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,30,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-60.10155005989041 -12.70570098643113, -60.09535004806371 -12.683003764371259, -60.095083285899705 -12.683074013561699, -60.101283274072934 -12.70577123550171, -60.10155005989041 -12.70570098643113))",2022-12-29,2023-01-26
runway_v2.2949,2949,154,2013-01-01,137,10/28,913,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,14,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-44.31186316651218 -22.97615962759884, -44.30317983207099 -22.974320738568228, -44.30311461186565 -22.97458481742286, -44.31179794542443 -22.97642370639224, -44.31186316651218 -22.97615962759884))",2022-12-29,2023-01-26
runway_v2.2950,2950,155,2013-01-01,138,12/30,1100,18,,ASPH,,PCN,5600kg/0.5Mpa,,,,,,,,,,,,,,,X,,9,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-47.27470921485635 -22.755424579416047, -47.26403699181055 -22.75626902342461, -47.26405189619822 -22.75643097657422, -47.27472411915242 -22.755586532582768, -47.27470921485635 -22.755424579416047))",2022-12-29,2023-01-26
runway_v2.2952,2952,2553,2018-01-04,3597,06R/24L,2233,22.5,,ASPH,,,,,,,,,,,,,,,,,,X,,39,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,M,M,,"POLYGON ((-48.97177333658389 -16.23938033344465, -48.9585622191059 -16.2236720003499, -48.95839889284124 -16.22380022161828, -48.97160999736319 -16.2395085545235, -48.97177333658389 -16.23938033344465))",2022-12-29,2023-01-26
runway_v2.2954,2954,2621,2017-05-25,3579,17/35,1390,45,,ASPH,,,,,,,,,,,,,,,,,,X,,32,,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,M,M,,"POLYGON ((-46.30364510851365 -23.922654660911878, -46.29648676001106 -23.93334910605992, -46.29686324029763 -23.933562005707987, -46.30402155779487 -23.92286756085614, -46.30364510851365 -23.922654660911878))",2022-12-29,2023-01-26
runway_v2.2956,2956,2705,2012-03-08,3591,13/31,1840,30,,ASPH,,,,,,,,,,,,,,,,,,X,,26,TECH,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-43.905782872736175 -19.65947455868128, -43.88882731677331 -19.66372178074312, -43.88890046128608 -19.663983775247527, -43.9058560153232 -19.65973655330937, -43.905782872736175 -19.65947455868128))",2022-12-29,2023-01-26
runway_v2.2957,2957,156,2019-05-23,139,16/34,1200,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,25,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-47.112123337415376 -22.85511350687288, -47.10417888618128 -22.86306072896472, -47.104393335963145 -22.86324482696195, -47.112337774728985 -22.85529760505383, -47.112123337415376 -22.85511350687288))",2022-12-29,2023-01-26
runway_v2.2958,2958,159,2015-03-05,142,01/19,1500,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,40,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-48.46669824313285 -22.94436582388513, -48.4699065622836 -22.931149156934627, -48.46962121577864 -22.93108973093703, -48.46641286892944 -22.94430639798645, -48.46669824313285 -22.94436582388513))",2022-12-29,2023-01-26
runway_v2.2960,2960,175,2013-01-01,158,15/33,1350,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,31,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-46.79582046980498 -24.15586811875793, -46.78533435352204 -24.163354229862737, -46.785515646628824 -24.16356799208189, -46.79600175234582 -24.15608188118672, -46.79582046980498 -24.15586811875793))",2022-12-29,2023-01-26
runway_v2.2965,2965,80,2013-01-01,65,09/27,1488,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,22,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-49.41723437143758 -28.72425060783505, -49.4319927042459 -28.727558941770837, -49.43206840765959 -28.72729661421601, -49.41731007246793 -28.723988280151797, -49.41723437143758 -28.72425060783505))",2022-12-29,2023-01-26
runway_v2.2966,2966,84,2018-06-21,68,15/33,1670,30,,ASPH,,PCN,,1790,300,,,,,,,,,,,,,X,,45,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-51.18082173994827 -29.203508193349478, -51.19278561734896 -29.192702637501828, -51.192564382853426 -29.19251402840543, -51.18060048225423 -29.203319584557736, -51.18082173994827 -29.203508193349478))",2022-12-29,2023-01-26
runway_v2.2967,2967,105,2019-11-07,89,13/31,1940,45,,ASPH,,PCN,,2060,300,,,,,,,,,,,,,X,,45,TECH,,A,FLEXIBLE,,,,,,,,M,M,M,,,M,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-39.27760326302341 -7.2158595798039595, -39.26118937305187 -7.222026246855269, -39.26133284900815 -7.222407087131869, -39.27774673703655 -7.21624042018319, -39.27760326302341 -7.2158595798039595))",2022-12-29,2023-01-26
runway_v2.2968,2968,116,2019-11-07,100,06/24,1200,30,,ASPH,,PCN,,1320,140,,,,,,,,,,,,,W,,19,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-41.76938276275752 -22.347464437806348, -41.762968865888624 -22.338394992723078, -41.76272557798221 -22.33854389518491, -41.76913945911325 -22.34761334010159, -41.76938276275752 -22.347464437806348))",2022-12-29,2023-01-26
runway_v2.2969,2969,129,2019-11-07,113,05/23,1700,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,27,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-48.403718360316795 -10.72455067379986, -48.394879466634244 -10.71190345173743, -48.394653867308676 -10.71205766022136, -48.40349275162606 -10.72470488215887, -48.403718360316795 -10.72455067379986))",2022-12-29,2023-01-26
runway_v2.2990,2990,6166,2019-11-07,5791,15/33,2100,45,,ASPH,,,,2220,280,,,,,,,,,,,,,X,,44,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,M,M,,"POLYGON ((-40.92251247488629 -14.9021110023616, -40.90677357948117 -14.91333044652198, -40.907020864706155 -14.9136584414089, -40.92275974730088 -14.90243899756933, -40.92251247488629 -14.9021110023616))",2022-12-29,2023-01-26
runway_v2.3068,3068,26,2015-04-02,21,08/26,2100,45,,ASPH,,PCN,,2220,300,,,,,,,,,,,,,X,,48,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-51.080195214119506 0.045662958896443, -51.0643174361367 0.0559129588958797, -51.06409922986392 0.0555703751039068, -51.07997700788099 0.0453203751033828, -51.080195214119506 0.045662958896443))",2022-12-29,2023-01-26
runway_v2.3074,3074,92,2019-10-10,76,07/25,1701,30,,ASPH,,PCN,,1821,150,,,,,,,,,,,,,X,,31,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-41.98900134773743 -18.901579821809637, -41.9776680081574 -18.89064648869785, -41.97746532572806 -18.89083684524592, -41.988798652147956 -18.9017701781341, -41.98900134773743 -18.901579821809637))",2022-12-29,2023-01-26
runway_v2.3075,3075,253,2020-01-02,236,03/21,1306,18,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,25,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-63.04902267200428 -9.88606987245144, -63.045425447343725 -9.87480876143505, -63.04526899664465 -9.87485790454675, -63.048866215984084 -9.88611901553034, -63.04902267200428 -9.88606987245144))",2022-12-29,2023-01-26
runway_v2.3100,3100,513,2020-01-02,492,06/24,1260,18,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,21,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L12, 14",,M,M,,"POLYGON ((-50.83674442209826 -29.37386392776348, -50.826983306625976 -29.36637226069484, -50.8268611373011 -29.366494405276608, -50.836622243828785 -29.37398607220796, -50.83674442209826 -29.37386392776348))",2022-12-29,2023-01-26
runway_v2.3148,3148,747,2020-05-21,723,08/26,1300,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,Y,,13,ACFT,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-41.968372675760214 -22.7744900629178, -41.958350449083454 -22.767303951821418, -41.95817177277708 -22.767518270127137, -41.96819399010026 -22.77470438103074, -41.968372675760214 -22.7744900629178))",2022-12-29,2023-01-26
runway_v2.3151,3151,6662,2020-03-26,6234,16/34,1000,30,,EARTH,,PCN,5700Kg / 0.50 MPa,1120,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,M,M,M,,RWY,,,M,,A,M,M,,"POLYGON ((-45.642942961596006 -22.26935861380069, -45.63683184403851 -22.276303058874017, -45.63705704409888 -22.276474719047002, -45.64316815054133 -22.26953027412035, -45.642942961596006 -22.26935861380069))",2022-12-29,2023-01-26
runway_v2.3159,3159,81,2020-05-21,66,09/27,1965,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,35,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-48.61430082706777 -17.72826737506145, -48.5973147138552 -17.721189596971968, -48.597201952067095 -17.72143818101026, -48.614188060854495 -17.728515958920777, -48.61430082706777 -17.72826737506145))",2022-12-29,2023-01-26
runway_v2.3160,3160,66,2018-04-26,52,16/34,1900,30,,ASPH,,PCN,,2020,300,,,,,,,,,,,,,X,,26,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,M,,"POLYGON ((-46.96673825025539 -19.557062105169397, -46.953888242762936 -19.569137105297937, -46.95408953535651 -19.56932956064489, -46.966939527863964 -19.55725456077348, -46.96673825025539 -19.557062105169397))",2022-12-29,2023-01-26
runway_v2.3161,3161,21,2020-01-02,16,03/21,1320,45,,CONC,,PCN,,1440,80,,,,,,,,,,,,,X,,26,TECH,,B,RIGID,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,,,"POLYGON ((-48.55440116503656 -27.67511741202409, -48.55199003282065 -27.664684078962527, -48.55154330101296 -27.66476592067724, -48.55395439079696 -27.67519925361552, -48.55440116503656 -27.67511741202409))",2022-12-29,2023-01-26
runway_v2.3201,3201,9,2019-09-12,7,11R/29L,3300,45,,ASPH,,PCN,,3420,280,,,,,,,,,,,,,W,,68,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14A, 15",,,,,"POLYGON ((-47.94000280941976 -15.880466560677828, -47.90926392028391 -15.8784887836408, -47.9092360796882 -15.878894550354499, -47.93997496855235 -15.88087232731746, -47.94000280941976 -15.880466560677828))",2022-12-29,2023-01-26
runway_v2.3237,3237,126,2019-07-18,110,09/27,1515,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,14,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-46.5764750593714 -21.84468118292545, -46.56230283567792 -21.83981729385052, -46.562202720233536 -21.84007159413233, -46.576374940540035 -21.84493548305739, -46.5764750593714 -21.84468118292545))",2022-12-29,2023-01-26
runway_v2.3246,3246,451,2020-12-03,433,11/29,1190,23,,ASPH,,PCN,,1310,80,,,,,,,,,,,,,Y,,10,ACFT,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-41.5191409680395 -17.891818490744182, -41.507927079017804 -17.892437935750767, -41.50793958698945 -17.892645398247918, -41.51915347596775 -17.89202595325451, -41.5191409680395 -17.891818490744182))",2022-12-29,2023-01-26
runway_v2.3248,3248,15,2019-01-31,11,07/25,1544,45,,ASPH,,PCN,,1664,300,,,,,,,,,,,,,X,,29,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-41.3072962385298 -21.7030186845479, -41.29646011772397 -21.693488128377957, -41.29616210397158 -21.69378409348552, -41.30699820516559 -21.70331464931551, -41.3072962385298 -21.7030186845479))",2022-12-29,2023-01-26
runway_v2.3257,3257,47,2021-01-28,36,10/28,3003,45,,ASPH,,PCN,,3123,280,,,,,,,,,,,,,W,,73,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14A,15",,,M,,"POLYGON ((-38.335063749736086 -12.91087296242354, -38.31011097090991 -12.905867407347388, -38.31002791702432 -12.906265926642979, -38.33498069419811 -12.91127148156682, -38.335063749736086 -12.91087296242354))",2022-12-29,2023-01-26
runway_v2.3258,3258,49,2021-01-28,38,16/34,2676,45,,ASPH,,PCN,,3121,300,,,,,,,,,,,,,X,,71,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14A,15",,,,,"POLYGON ((-45.87181143007195 -23.21952004458796, -45.8532975213407 -23.23658393389997, -45.853608034992114 -23.236871621944, -45.87212190426054 -23.21980773325614, -45.87181143007195 -23.21952004458796))",2022-12-29,2023-01-26
runway_v2.3261,3261,3937,2020-12-03,3918,12/30,1825,45,,ASPH,,PCN,,1920,300,,,,,,,,,,,,,X,,40,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-35.25578212368175 -5.90886848412185, -35.239515456534775 -5.9114462621404495, -35.23957898748813 -5.91184818185629, -35.25584565434115 -5.909270403874889, -35.25578212368175 -5.90886848412185))",2022-12-29,2023-01-26
runway_v2.3262,3262,3938,2020-12-03,3918,16L/34R,2600,45,,ASPH,,PCN,,2805,300,,,,,,,,,,,,,X,,37,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15, 18",,,,,"POLYGON ((-35.2514228420528 -5.90169393883912, -35.23661728088624 -5.91994393892312, -35.236932719186484 -5.92020050503145, -35.25173827001971 -5.90195050511559, -35.2514228420528 -5.90169393883912))",2022-12-29,2023-01-26
runway_v2.3278,3278,109,2021-01-28,93,17/35,1532,30,,ASPH,,PCN,,1652,150,,,,,,,,,,,,,Y,,17,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,,,"POLYGON ((-50.28551859854418 -27.77624154137488, -50.27721858481108 -27.78791376349709, -50.27747585935919 -27.788058458382398, -50.285775845626 -27.776386236504667, -50.28551859854418 -27.77624154137488))",2022-12-29,2023-01-26
