FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.2743,2743,99,2019-01-03,83,07/25,1918,300,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,50,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L 14, 15",,,,,"POLYGON ((-47.46667506323671 -5.535904947759109, -47.45355561631668 -5.526335503706189, -47.45331660561736 -5.526664496268849, -47.466436048697204 -5.53623394021589, -47.46667506323671 -5.535904947759109))",2022-12-29,2023-01-26
runway_v2.2744,2744,102,2013-01-01,86,03/21,1535,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,32,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-43.386919416224465 -21.798323390491248, -43.385522180362976 -21.78448727947001, -43.38523337561153 -21.784512720403818, -43.386630583750026 -21.79834883138249, -43.386919416224465 -21.798323390491248))",2022-12-29,2023-01-26
runway_v2.2745,2745,104,2017-03-02,88,03/21,900,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,10,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-43.37257941023572 -22.9908203163193, -43.37209606851353 -22.9827092053117, -43.37180393147042 -22.982724128553667, -43.37228725574821 -22.990835239546, -43.37257941023572 -22.9908203163193))",2022-12-29,2023-01-26
runway_v2.2746,2746,108,2013-01-01,92,14/32,2082,30,,ASPH,,PCN,,,,,,,,,,,,,,,,W,,44,TECH,,A,RIGID,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-41.28566336141669 -12.478259445646849, -41.268160582769646 -12.48590944571697, -41.268272751283696 -12.486157220270218, -41.285775526636634 -12.478507220340349, -41.28566336141669 -12.478259445646849))",2022-12-29,2023-01-26
runway_v2.2747,2747,112,2011-01-01,96,18/36,1211,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,9,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-43.41012866943849 -13.25627478460719, -43.4062119979944 -13.26654700664531, -43.406471336055894 -13.26664188128854, -43.41038799661176 -13.25636965932671, -43.41012866943849 -13.25627478460719))",2022-12-29,2023-01-26
runway_v2.2748,2748,44,2019-04-25,35,10/28,4000,45,,CONC,,PCN,,4120,280,,,,,,,,,,,,,W,,78,TECH,,A,RIGID,,,,,,,,M,M,M,,,M,M,,RWY,,,,"L14A,15,19A,20A (2)",,M,M,,"POLYGON ((-43.2552308800423 -22.80165423730141, -43.217697542904304 -22.791982015064097, -43.21758023492823 -22.79237354090952, -43.25511356379014 -22.8020457626722, -43.2552308800423 -22.80165423730141))",2022-12-29,2023-01-26
runway_v2.2749,2749,6,2017-05-25,3,02/20,1830,45,,ASPH,,PCN,,1950,300,,,,,,,,,,,,,X,,50,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-48.47735699294996 -1.3905325697024398, -48.475948657560714 -1.3740464587001098, -48.47554578643635 -1.3740813192827899, -48.47695411904707 -1.39056743028026, -48.47735699294996 -1.3905325697024398))",2022-12-29,2023-01-26
runway_v2.2750,2750,7,2018-01-04,4,13/31,2364,45,,ASPH,,PCN,,2484,300,,,,,,(4),,,,,,,X,,44,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"COMP L14A, 15, 18",,,,,"POLYGON ((-43.96116551485114 -19.84657662089483, -43.93851273297548 -19.854701621067818, -43.93866504520585 -19.85508171289559, -43.96131781933011 -19.8469567130686, -43.96116551485114 -19.84657662089483))",2022-12-29,2023-01-26
runway_v2.2751,2751,24,2018-01-04,19,16/34,2515,45,,ASPH,,PCN,,2635,300,,,,,,,,,,,,,X,,52,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-34.958522151099864 -7.14032051327291, -34.942474923029096 -7.156456624373, -34.94276396506111 -7.156743375580749, -34.958811182990125 -7.1406072646809395, -34.958522151099864 -7.14032051327291))",2022-12-29,2023-01-26
runway_v2.2752,2752,46,2014-08-21,36,17/35,1518,45,,ASPH,,PCN,,1638,150,,,,,,,,,,,,,X,,41,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"(2) L14,15",,,,,"POLYGON ((-38.343568703580786 -12.90765502085317, -38.33530758519765 -12.918746687954739, -38.33564241496215 -12.91898664593687, -38.34390351857885 -12.90789497903853, -38.343568703580786 -12.90765502085317))",2022-12-29,2023-01-26
